Aisle ID,Product family,Items considered,Avg length (in),SD of length (in),Max length (in),Min length (in),Avg width  (in),SD of width (in),Max width (in),Min width (in),Avg height (in),SD of height (in),Max height (in),Min height (in),Avg weight (lbs),SD of weight (lbs),Max weight (lbs),Min weight (lbs),Avg price (USD),SD of price (USD),Max price (USD),Min price (USD)
74,Dish detergents,24,7.450833332999999,3.048616103,14.31,2.13,6.745416667000001,2.2169387019999998,11.46,2.4,7.714166667000001,2.6427059859999997,12.56,2.36,4.030104167,2.7361362469999997,10.59,0.0625,28.49,2.121320344,29.99,26.99
75,Laundry,23,7.24173913,3.204212642,12.88,1.5,7.602173913,2.495320997,12.7,3.62,8.819565217000001,2.58706657,11.37,4.41,4.594266304,2.1796652930000002,6.88,0.000625,21.71,15.85333403,32.92,10.5
76,Indian foods,24,7.042916667,3.088927602,14.84,1.25,5.67125,2.563444206,10.94,1.0,4.171666667,2.654601692,8.66,0.5,1.273177083,1.418414535,5.0,0.034375,11.16375,8.398658524,32.99,3.83
77,Soft drinks,23,12.12173913,6.252729333,33.37,2.12,8.423043478,6.163357582000001,33.37,2.12,7.076956522000001,6.108057595,33.37,0.5,5.50423913,5.9957074960000005,16.5,0.12,19.00444444,12.25024705,36.49,2.29
78,Crackers,25,6.6216,3.633591749,15.51,0.39,4.7948,2.3937768619999997,11.0,0.39,6.3044,2.4205527609999997,8.89,0.39,1.3024,1.309871571,4.6,0.06,4.29,1.126942767,5.99,3.19
79,Frozen pizza,25,9.004,3.95744762,13.45,1.25,6.1272,4.377368426,12.75,1.35,7.606,4.384550528,13.38,0.75,0.81075,0.308650614,1.38,0.10125,7.0412,2.453610129,11.49,3.99
80,Deodorants,25,5.034,2.473875165,9.19,1.63,3.3276,1.962946934,6.34,0.8,3.306,1.836216672,6.97,1.25,0.506225,0.42330657899999996,1.65,0.01,10.1775,3.590035979,13.99,5.78
81,Canned jarred vegetables,24,9.242916667000001,4.692443953,17.94,2.75,7.1625,3.224486815,13.07,2.52,4.45375,1.153692795,7.7,2.75,3.1495833330000003,4.385860432,13.25,0.065,25.265,30.28538344,46.68,3.85
82,Baby accessories,4,12.1875,5.10584877,15.71,4.84,8.5,3.6205984769999997,13.1,4.76,4.8825,3.41342814,8.78,1.77,10.18515625,11.61249731,23.24,0.090625,33.32,28.70569107,64.98,8.99
83,Fresh vegetables,23,5.72173913,2.753767093,11.5,1.0,3.773043478,1.975940363,7.9,1.0,5.06173913,2.948226974,10.55,0.51,0.700027174,0.465876209,2.41,0.125,3.8525,1.920720351,9.99,0.99
